Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"greg beans",SemataryFan69,"ID 1599859010572017665",," @femcelfujo ❤ (ɔˆз(ˆ⌣ˆc) #wifegoy","Mon Dec 05 20:11:37 +0000 2022",306,297,1040,5278,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600721216389541888/6w4FtU5S_normal.jpg
Kyle,Brownkyl1,"ID 1525311222748520448","Atlanta, GA"," ","Sat May 14 03:05:23 +0000 2022",112,700,1543,14675,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609634674044817410/JDsMx_AU_normal.jpg
BLESSED,n45231013,"ID 1138963849753874433",Mongolia," im just another cutecell scrolling through twitter looking for another obsession.","Thu Jun 13 00:18:37 +0000 2019",165,862,123,412796,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613204920219451396/HBLUzpPr_normal.jpg
"cool guy",coolguy00146,"ID 2656268053",," ","Fri Jul 18 08:31:36 +0000 2014",2,428,4,459,,,Disabled,"Not verified",,Protected,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"John Smith",JohnSmi63035361,"ID 971478456033685504",," ","Wed Mar 07 20:11:27 +0000 2018",15,45,327,5348,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1001634577503240192/FVkmhk2s_normal.jpg
BigRicky,FuarkBoy,"ID 2464148269",Aldebaran," Dixie. Vril Cultivator. Starseed. J-L283-Z631-Z1043. BMD. TND.","Sat Apr 26 05:35:22 +0000 2014",50,111,841,24910,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610268394162475008/g4FdJbP1_normal.jpg
Lemmy,MarisaGaming89,"ID 1564345629555539968",," ","Mon Aug 29 20:14:11 +0000 2022",289,413,4266,15502,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612919437614583808/VlFkauWP_normal.png
⛓𝟺𝟺𝟺𝟺𝟺𝟺𝟺𝟺𝟺𝟺⛓,vgtrknaomi,"ID 1255982964510425088",Omsk," Executive Order 10990. It lets us take over all modes of transportation. Executive Order 10995. We can take over the media.","Thu Apr 30 22:11:01 +0000 2020",187,372,5703,16815,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1563496050438025216/YnxpeNz__normal.jpg
FullColorGuilt,FullColorGuilt,"ID 853894748498780160",," ","Mon Apr 17 08:55:47 +0000 2017",57,877,8,11760,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1306029399159050245/PJgXZ88E_normal.jpg
😹,foolishly123,"ID 942274125623566336",Kuwait," don’t play...","Sun Dec 17 06:03:52 +0000 2017",118,804,2644,75665,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1427147356034592769/UDcMm2tB_normal.jpg
